word,vector
kill,"[2.7081370e-04 1.0141611e-02 9.7798395e-01 2.4163723e-03 4.3058082e-01
 4.0227175e-04 9.9778593e-01 8.0074155e-01 2.7956077e-01 1.1065245e-02
 9.8628843e-01 9.5418000e-01 5.3743720e-03 5.8864397e-01 1.6908944e-03
 9.5060724e-01 1.5853167e-02 1.3048190e-01 3.8326085e-03 7.7621055e-01
 9.9424279e-01 9.8700500e-01 9.9313986e-01 1.7449319e-02 9.4477379e-01]"
yourself,"[2.1114945e-03 1.5981376e-02 9.9521506e-01 2.3915768e-03 3.2009146e-01
 8.3431602e-04 9.9953389e-01 8.6857569e-01 3.2548359e-01 1.3622820e-02
 9.9676228e-01 9.3369806e-01 8.3410442e-03 3.2514772e-01 2.8647482e-03
 9.6181691e-01 2.8642833e-02 5.6164771e-02 1.9061565e-04 9.1752726e-01
 9.9108678e-01 9.8738074e-01 9.9842238e-01 1.4908820e-02 9.2185795e-01]"
deserve,"[7.8603625e-04 2.2003025e-02 9.9094009e-01 2.1028519e-04 4.6170861e-01
 3.1620264e-05 9.9631977e-01 9.9020058e-01 5.3717822e-02 2.5324821e-03
 9.9269783e-01 9.4145012e-01 9.4635785e-03 4.4585431e-01 4.5439601e-04
 9.7328705e-01 4.5371056e-04 4.3557811e-01 9.4234943e-05 7.6035035e-01
 9.9618000e-01 9.9895561e-01 9.9979758e-01 3.2152236e-02 9.8833835e-01]"
to,"[1.3875663e-03 6.1820030e-02 9.9675548e-01 4.1279197e-04 4.4718069e-01
 4.8598647e-04 9.9580932e-01 9.4628954e-01 1.1127132e-01 9.5682144e-03
 9.9738747e-01 9.2672145e-01 1.2506604e-02 5.3470159e-01 7.3957443e-04
 9.1490781e-01 7.4237585e-04 3.1059164e-01 9.2834234e-05 7.7527803e-01
 9.9499881e-01 9.9683499e-01 9.9975097e-01 3.5837024e-02 9.8238170e-01]"
be,"[1.2528300e-03 1.5748292e-02 9.9319100e-01 5.9270859e-04 5.8517450e-01
 5.3739548e-04 9.9454075e-01 9.8546767e-01 1.7194548e-01 2.9681623e-03
 9.9028540e-01 9.6141189e-01 1.7622679e-02 3.0959046e-01 4.0116310e-03
 9.7348839e-01 1.0174513e-03 4.3820319e-01 2.9429793e-04 8.4813112e-01
 9.7890484e-01 9.9791503e-01 9.9957132e-01 5.2730858e-02 9.8878765e-01]"
abused,"[2.2388101e-03 7.1541667e-03 9.8013759e-01 2.6873052e-03 8.7535763e-01
 1.9949675e-04 9.9751389e-01 8.6614680e-01 1.6462037e-01 8.5699558e-04
 9.9533129e-01 9.3225747e-01 6.7007542e-03 5.2860272e-01 4.2821169e-03
 9.5915163e-01 1.4459491e-03 4.9148953e-01 4.6133995e-04 6.6058397e-01
 9.9641812e-01 9.9058998e-01 9.9827224e-01 9.2603832e-02 9.9639463e-01]"
i,"[7.2351098e-04 1.3363451e-02 9.7454429e-01 1.2359619e-03 7.0988631e-01
 2.3096800e-04 9.9518836e-01 8.9305675e-01 2.3976499e-01 5.6970417e-03
 9.9050224e-01 9.7071874e-01 5.9520900e-03 4.7224104e-01 2.9355884e-03
 9.5772934e-01 1.5999377e-03 3.8958457e-01 1.0102987e-04 8.5616112e-01
 9.8858303e-01 9.9147689e-01 9.9744558e-01 2.0462960e-02 9.8847538e-01]"
guess,"[8.1184506e-04 1.0963887e-02 9.8812175e-01 1.0812581e-03 7.5800180e-01
 5.1534176e-04 9.7807992e-01 7.9060155e-01 4.9350828e-02 5.7208836e-03
 9.9783766e-01 9.4039106e-01 1.5964210e-03 5.8071476e-01 3.5654008e-03
 9.6641397e-01 1.7189085e-03 2.3508334e-01 2.6446581e-04 5.8048117e-01
 9.9006665e-01 9.9691367e-01 9.9944556e-01 1.9816417e-01 9.7813022e-01]"
made,"[4.3421984e-05 7.3335469e-03 9.9423891e-01 1.3968349e-04 2.9367754e-01
 3.0994415e-05 9.9561357e-01 9.8186767e-01 4.5414239e-02 1.2960255e-02
 9.7590482e-01 9.6635413e-01 1.4961958e-03 6.4167511e-01 1.4114678e-03
 9.1545027e-01 3.6540627e-04 5.5668437e-01 1.0243058e-04 6.4908886e-01
 9.9582636e-01 9.9782395e-01 9.9952310e-01 2.8635859e-02 9.9465454e-01]"
for,"[8.0600381e-04 2.1903336e-02 9.5763135e-01 2.3648143e-04 3.8631058e-01
 1.4758408e-03 9.9827272e-01 9.6368492e-01 5.1903129e-02 1.5489459e-03
 9.5777291e-01 9.4765252e-01 1.1287451e-02 2.9711571e-01 5.8496892e-03
 7.9593420e-01 2.5070310e-03 2.3079738e-01 8.2790852e-05 7.3046315e-01
 9.8273408e-01 9.9567401e-01 9.9659467e-01 6.1960369e-02 9.6720684e-01]"
